dog,nseg,kb_avg,kb_total,coi
3,2959,961972,325.1,0.436513
8,2510,581310,231.598,0.26378
14,2460,558004,226.831,0.253205
19,2858,981350,343.37,0.445306
23,2203,469700,213.209,0.213135
28,2283,523489,229.299,0.237543
30,2875,836835,291.073,0.37973
34,3290,985257,299.47,0.447079
46,2446,688589,281.517,0.31246
59,2339,489112,209.111,0.221944
61,2264,532892,235.376,0.24181
64,1969,399826,203.061,0.181429
66,2058,433608,210.694,0.196758
71,2478,551576,222.589,0.250288
84,2189,470214,214.808,0.213368
87,1600,313542,195.964,0.142276
88,2834,878678,310.049,0.398717
94,2519,568706,225.766,0.258061
95,2345,1.06982e+06,456.212,0.485451
98,2188,506079,231.298,0.229643
100,2385,752126,315.357,0.341291
104,2460,548195,222.843,0.248754
111,2568,707744,275.601,0.321152
113,2269,520554,229.42,0.236211
114,2455,557378,227.038,0.252921
117,2409,578937,240.323,0.262704
120,2995,841559,280.988,0.381873
121,2459,609532,247.878,0.276587
122,2881,763774,265.107,0.346577
123,2616,698793,267.123,0.317091
124,2117,433395,204.721,0.196661
128,4248,1.13383e+06,266.909,0.514497
131,1833,455321,248.402,0.206611
132,2255,541871,240.297,0.245884
135,2232,483075,216.431,0.219204
137,3282,842533,256.713,0.382315
139,3201,1.04925e+06,327.789,0.476117
140,2411,565704,234.635,0.256699
144,3330,1.29411e+06,388.621,0.587227
147,2398,505394,210.757,0.229332
148,2819,880226,312.248,0.399419
149,2748,1.0199e+06,371.141,0.462799
157,2032,459692,226.226,0.208594
158,2363,554264,234.559,0.251508
160,2931,1.20604e+06,411.476,0.547263
166,2491,558959,224.392,0.253638
167,3159,1.00933e+06,319.509,0.458003
168,2293,459907,200.57,0.208691
172,2387,513932,215.305,0.233206
181,2265,536195,236.731,0.243309
182,2388,570767,239.015,0.258996
183,2259,560965,248.325,0.254548
184,2286,526746,230.423,0.239021
191,4147,975176,235.152,0.442505
198,2415,550954,228.138,0.250006
199,2280,528627,231.854,0.239874
200,2287,1.12965e+06,493.942,0.5126
206,2736,762896,278.836,0.346178
213,3196,751798,235.231,0.341143
214,2410,822041,341.096,0.373017
215,2485,578062,232.62,0.262307
219,1713,354617,207.015,0.160914
220,2490,547468,219.867,0.248424
223,2375,529341,222.88,0.240198
234,2536,794166,313.157,0.360368
235,2737,679730,248.348,0.30844
238,2461,619598,251.767,0.281154
268,2968,908392,306.062,0.4122
275,2746,661064,240.737,0.29997
281,1936,410541,212.056,0.186291
289,2392,1.10026e+06,459.975,0.499264
290,3173,1.02607e+06,323.374,0.465599
291,2580,738267,286.15,0.335003
294,2657,755137,284.207,0.342658
295,2745,758277,276.239,0.344083
296,2491,754625,302.941,0.342425
297,2465,575401,233.429,0.261099
298,2875,1.08089e+06,375.963,0.490474
305,2765,962087,347.952,0.436565
306,3505,1.21982e+06,348.022,0.553516
333,2616,826336,315.878,0.374966
335,2316,505750,218.372,0.229494
341,2450,554572,226.356,0.251648
343,2537,636675,250.956,0.288903
344,2251,486138,215.965,0.220594
345,2380,908112,381.56,0.412073
383,2096,1.11745e+06,533.135,0.507064
390,2441,547836,224.431,0.248591
391,2777,782894,281.921,0.355253
392,2082,456239,219.135,0.207027
393,2111,455949,215.987,0.206895
395,2455,580789,236.574,0.263544
406,2803,923589,329.5,0.419096
407,2538,784359,309.046,0.355918
427,2605,755456,290.002,0.342802
429,2163,505967,233.919,0.229592
435,2419,591425,244.491,0.26837
443,2569,1.03e+06,400.933,0.467382
446,2190,1.1102e+06,506.939,0.503774
472,2504,624772,249.509,0.283502
473,2650,789224,297.82,0.358125
497,2255,519016,230.162,0.235513
508,2378,536337,225.541,0.243373
511,2380,532243,223.631,0.241515
523,2409,579838,240.697,0.263112
541,2541,730676,287.555,0.331558
542,2564,1.01009e+06,393.952,0.458347
548,2591,730772,282.042,0.331602
559,2451,537833,219.434,0.244052
560,3350,913220,272.603,0.414391
561,2241,799043,356.556,0.362581
565,3065,724582,236.405,0.328793
566,1824,1.34577e+06,737.814,0.610669
569,2355,973276,413.281,0.441642
581,2601,1.08586e+06,417.477,0.492729
582,2440,933780,382.697,0.42372
603,2589,728710,281.464,0.330666
605,2363,814056,344.501,0.369393
607,2191,480719,219.406,0.218135
616,2514,583889,232.255,0.264951
635,2748,778161,283.173,0.353105
637,2712,712303,262.649,0.323221
638,2394,781956,326.632,0.354827
639,2256,966904,428.592,0.438751
656,2318,642578,277.212,0.291582
678,2601,699353,268.878,0.317345
679,2666,1.132e+06,424.607,0.513666
684,2171,977970,450.47,0.443772
697,2318,532594,229.764,0.241675
700,2000,453266,226.633,0.205678
701,2494,663270,265.946,0.300971
716,3087,1.02466e+06,331.926,0.464959
721,2556,574526,224.776,0.260702
722,1945,398949,205.115,0.181031
723,2371,917694,387.049,0.416421
729,2272,564679,248.538,0.256234
755,2810,874306,311.141,0.396733
765,2417,554299,229.334,0.251524
779,983,181194,184.328,0.0822202
784,2527,703665,278.459,0.319301
790,2241,978391,436.587,0.443963
791,2586,734968,284.21,0.333506
798,2447,730460,298.512,0.33146
801,2625,599763,228.481,0.272154
816,2199,465555,211.712,0.211254
817,2332,555174,238.068,0.251921
819,2306,508469,220.498,0.230727
832,2703,905952,335.166,0.411093
844,2531,762001,301.067,0.345772
857,2601,651601,250.519,0.295676
859,2670,999683,374.413,0.453625
866,2572,600688,233.549,0.272574
869,2482,585711,235.983,0.265777
874,2655,755935,284.721,0.34302
879,2428,917094,377.716,0.416149
901,2507,835569,333.294,0.379155
902,2245,518880,231.127,0.235452
903,2434,578735,237.771,0.262612
908,2441,580151,237.669,0.263254
910,2433,572700,235.389,0.259873
917,2435,538218,221.034,0.244227
933,2268,885060,390.238,0.401613
962,2591,722340,278.788,0.327775
964,3007,900359,299.421,0.408555
974,2537,576188,227.114,0.261456
991,2461,620403,252.094,0.28152
1000,2401,559102,232.862,0.253703
1013,2326,834163,358.626,0.378517
1035,2451,1.11193e+06,453.665,0.504559
1040,1882,1.12296e+06,596.687,0.509564
1045,2109,1.09668e+06,520,0.497639
1048,2570,788238,306.707,0.357678
1070,3231,785779,243.2,0.356562
1077,2378,600504,252.525,0.27249
1078,2062,388312,188.318,0.176204
1085,2609,774703,296.935,0.351536
1099,2248,1.2595e+06,560.278,0.571522
1120,2459,600357,244.147,0.272423
1123,2307,517148,224.165,0.234666
1124,2324,493700,212.435,0.224026
1128,2481,569265,229.45,0.258315
1130,728,133004,182.698,0.0603531
1133,2519,841617,334.108,0.3819
1134,2267,502240,221.544,0.227901
1159,2265,503938,222.489,0.228671
1164,2511,581790,231.697,0.263998
1168,2419,755837,312.458,0.342975
1169,2503,606649,242.369,0.275278
1172,2249,1.09436e+06,486.6,0.496587
1173,2393,585182,244.539,0.265537
1175,2096,495943,236.614,0.225044
1193,1946,1.08345e+06,556.759,0.491636
1196,2465,582643,236.367,0.264385
1205,2331,609161,261.33,0.276418
1206,2301,532492,231.418,0.241628
1207,1793,462720,258.07,0.209968
1215,2426,574792,236.93,0.260823
1220,2037,455163,223.448,0.206539
1230,2423,505542,208.643,0.229399
1233,1916,384570,200.715,0.174506
1234,2566,589780,229.844,0.267624
1237,2975,816687,274.517,0.370587
1250,2370,548002,231.224,0.248666
1267,2435,547712,224.933,0.248535
1272,2685,767656,285.905,0.348338
1306,2004,437518,218.322,0.198532
1321,2522,719354,285.231,0.32642
1324,3428,1.21014e+06,353.016,0.549124
1341,2654,850550,320.479,0.385953
1343,2458,549065,223.379,0.249149
1345,2309,557499,241.446,0.252976
1348,2675,803500,300.374,0.364603
1350,2490,569426,228.685,0.258388
1351,2350,507383,215.908,0.230235
1352,2467,631950,256.161,0.286759
1374,2517,738189,293.281,0.334967
1381,2490,748208,300.485,0.339514
1394,2290,485804,212.141,0.220443
1395,2541,608418,239.44,0.276081
1427,2218,1.08342e+06,488.469,0.491622
1430,2581,727820,281.992,0.330262
1431,2551,742520,291.07,0.336932
1437,2958,971032,328.273,0.440624
1447,2363,557464,235.914,0.25296
1450,1884,1.26243e+06,670.079,0.572851
1456,2175,496738,228.385,0.225404
1463,2020,447994,221.779,0.203286
1469,2421,551331,227.729,0.250177
1472,2027,442616,218.36,0.200845
1476,2224,501568,225.525,0.227596
1479,2460,951745,386.888,0.431872
1485,2286,489926,214.316,0.222313
1505,3259,877571,269.276,0.398214
1510,2641,607236,229.926,0.275545
1532,2501,603660,241.368,0.273922
1533,2516,558181,221.853,0.253285
1535,2313,507224,219.293,0.230162
1538,2445,580934,237.601,0.26361
1549,2461,600194,243.882,0.272349
1551,2284,509268,222.972,0.23109
1558,2650,769099,290.226,0.348993
1564,2424,563725,232.56,0.255801
1578,2361,569033,241.013,0.258209
1582,2624,1.25884e+06,479.739,0.571222
1583,2430,650093,267.528,0.294992
1589,2456,536957,218.631,0.243654
1601,2362,530872,224.755,0.240893
1610,2485,760618,306.084,0.345145
1613,2354,503961,214.087,0.228682
1621,2870,925398,322.438,0.419917
1628,2461,580579,235.912,0.263449
1629,2841,833637,293.431,0.378279
1630,2532,593546,234.418,0.269333
1654,2524,621360,246.181,0.281954
1661,2426,656124,270.455,0.297729
1663,2572,873189,339.498,0.396226
1673,2772,1.12252e+06,404.949,0.509365
1679,2284,527266,230.852,0.239257
1680,2585,712064,275.46,0.323112
1698,2105,467359,222.023,0.212073
1707,2311,1.0849e+06,469.45,0.492294
1720,2378,557815,234.573,0.253119
1724,2549,598681,234.869,0.271663
1740,2500,556161,222.465,0.252369
1741,3241,845848,260.984,0.38382
1746,2449,570502,232.953,0.258876
1751,2671,855529,320.303,0.388212
1781,2428,618610,254.782,0.280706
1785,2429,556489,229.102,0.252517
1790,2544,557957,219.323,0.253184
1797,2560,786495,307.225,0.356887
1799,2745,699598,254.863,0.317456
1802,2391,799073,334.2,0.362594
1807,2083,427094,205.038,0.193802
1811,2487,589617,237.08,0.26755
1815,2210,485768,219.805,0.220426
1822,2279,670407,294.167,0.30421
1835,2294,876523,382.094,0.397739
1837,2407,815382,338.754,0.369995
1851,2488,986543,396.52,0.447663
1852,2575,877438,340.752,0.398154
1856,2078,436392,210.006,0.198021
1861,2327,601505,258.49,0.272944
1866,2368,561422,237.087,0.254756
1869,2534,589023,232.448,0.26728
1871,2547,720209,282.768,0.326808
1872,2362,556191,235.474,0.252382
1873,2299,550890,239.622,0.249977
1885,2561,1.26302e+06,493.176,0.573119
1901,2509,689590,274.847,0.312914
1903,2913,775206,266.12,0.351764
1904,2521,758879,301.023,0.344356
1911,2479,943149,380.455,0.427972
1912,2935,1.24964e+06,425.773,0.567048
1913,2274,895312,393.717,0.406265
1914,2237,1.13796e+06,508.7,0.516371
1927,2352,533061,226.642,0.241886
1931,2685,1.04655e+06,389.777,0.474892
1934,2449,1.05862e+06,432.268,0.480369
1975,1814,453046,249.75,0.205578
1976,1890,398123,210.647,0.180656
1981,2496,584488,234.17,0.265222
1989,2378,532090,223.755,0.241446
1990,2276,529120,232.478,0.240098
2000,983,219744,223.545,0.099713
2003,2775,1.04177e+06,375.414,0.472723
2004,2648,589236,222.521,0.267377
2010,1955,417574,213.593,0.189482
2018,2411,541017,224.395,0.245497
2022,2562,576601,225.059,0.261644
2025,2432,782412,321.715,0.355034
2036,2440,530843,217.559,0.24088
2040,2579,863808,334.939,0.391969
2042,2424,729826,301.083,0.331172
2045,2143,1.15938e+06,541.007,0.526091
2048,1666,1.4482e+06,869.266,0.657148
2063,2952,1.18092e+06,400.04,0.535865
2066,2410,891518,369.925,0.404543
2074,2813,732145,260.272,0.332225
2092,2210,1.00065e+06,452.782,0.454064
2102,2787,896287,321.595,0.406707
2115,2511,588685,234.442,0.267127
2116,2451,581661,237.316,0.26394
2130,2303,901079,391.263,0.408882
2131,2062,919297,445.828,0.417148
2136,1059,199214,188.115,0.0903971
2137,2271,515261,226.887,0.233809
2142,2053,1.09144e+06,531.631,0.495262
2143,2423,557537,230.102,0.252993
2144,2481,1.15326e+06,464.839,0.523314
2157,2530,735683,290.784,0.33383
2163,2353,1.0118e+06,430.004,0.459123
2170,2520,529995,210.316,0.240495
2171,2352,521259,221.624,0.236531
2177,747,141120,188.916,0.0640359
2179,5203,1.64549e+06,316.258,0.746672
2199,2434,537139,220.682,0.243737
2203,2376,811597,341.581,0.368277
