dog	lineage. 01	lineage. 02	lineage. 03	lineage. 04	lineage. 05	lineage. 06	lineage. 07	lineage. 08	lineage. 09	lineage. 10	lineage. 11	lineage. 12
3	0.026637488836345622	0	0	0	0	0	0	0	0	0	0	0
8	0.0012177037407977776	0.0015309875114269515	0.0015913976419296555	0.002237624842046997	0.0016649547566927843	0.004078359862803255	0.004835476515479033	0.0015522636835050305	9.997568238368768e-4	0.0012953473205295526	0.0013428398914530446	0.0012711538639753313
14	0.010284632236511526	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0.02912377693835342	0	0	0	0	0
23	0.0033324563965150293	0	0.0017965937205464005	0	0.0016649547566927843	0.002773723368333566	0.0032165828745614015	0.0018692053781033577	0.002687729033177719	0.003439157854390049	0.0034583033875501645	0.0015205382533003697
28	0.0031111742466957307	0	0.0020142650185444575	0	0.0016649547566927843	0.002126701085230687	0.0026165409733833493	0.0018692053781033577	0.00276817163608527	0.003238914874384885	0.0032573228685593043	0.0016006095909665509
30	0	0	0	0	0	0.005910547714090456	0.006246291864763884	0	0	0	0	0
34	9.002080897927187e-4	0.001334917987228058	8.779071279296215e-4	0.0018182003021725765	0.0011330249113945695	4.328547326958521e-4	8.145955240345234e-4	8.198685685942409e-4	9.997568238368768e-4	9.728522574916578e-4	0.001018556692014541	5.132224800353851e-4
46	0.022884428251120803	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0.007236055892196357	0	0	0	0	0	0
61	0.0068198255287826295	0	0	0	0	0	0	0	0	0.007324671514772665	0.007202173148210616	0
64	0	0	0	0	0.007683002081577058	0	0	0	0	0	0	0
66	0.0012178060780005293	0.0015658082215476033	0.0011761933172995832	8.627822677723106e-4	0.002077808975994486	7.536225087174849e-4	0.0011367626089022283	0.001123615816599674	0.0014265637560788359	0.0012907904271301828	0.0013376939580331596	8.150745315977493e-4
71	0	0	0	0	0	0.0052575106814976725	0.005511368563345482	0	0	0	0	0
84	0.0034262310225783186	0	0.001899701625349233	0	0.0016649547566927843	0.0027032530190477994	0.0031516847645152567	0.0018692053781033577	0.002707403825045719	0.003532235139558351	0.0035515691362951124	0.0015205382533003697
87	0	0	0	0	0	0	0	0.014277055362584534	0	0	0	0
88	0	0	0	0	0	0.007443745440800477	0	0	0	0	0	0
94	0	0.013943137261082875	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0.034846511701060005	0	0	0	0
98	0.004676280083126688	0	0	0	0	0	0	0	0	0.004772266000913533	0.004797626616841198	0
100	0	0	0	0	0	0.008605664078365783	0	0	0	0	0	0
104	0	0	0	0	0	0.018391402689837622	0	0	0	0	0	0
111	0.036994980984304884	0	0	0	0	0	0	0	0	0	0	0
113	0.0032027774807207943	0	0.0017568129752857935	0	0	0.0033307800099741285	0.0037622519852730974	0.0018692053781033577	0	0.003306254661627817	0.0033208629714976904	0.0015205382533003697
114	0.012339287067338566	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	0	0.008357882941606535	0	0	0	0	0	0	0
120	0	0	0	0	0	0.008375709619138224	0	0	0	0	0	0
121	0	0	0	0	0	0.0084594523371324	0	0	0	0	0	0
122	0	0	0	0	0	0.008582317878582274	0	0	0	0	0	0
123	0	0	0	0	0	0	0	0	0	0.011922705894069787	0.011693913334774517	0
124	0.0028675236018068013	0	0.0017568129752857935	0	0.0016649547566927843	0.003016802699715364	0.0034552850488569725	0.0018692053781033577	0.002389165005055197	0.002988201150247642	0.00300441571214042	0.0015205382533003697
128	0	0	0	0	0	0	0.008258205396847686	0	0	0	0	0
131	0	0	0	0.0034204672848257667	0	0	0	0	0	0	0	0
132	0.007695695856961405	0	0	0	0	0	0	0	0	0.007167444846167322	0.007032472078236813	0
