dog	lineage.ext. 01	lineage.ext. 02	lineage.ext. 03	lineage.ext. 04	lineage.ext. 05	lineage.ext. 06	lineage.ext. 07	lineage.ext. 08	lineage.ext. 09	lineage.ext. 10	lineage.ext. 11	lineage.ext. 12
3	0.02663748883634562	0	0	0	0	0	0	0	0	0	0	0
8	0.00121770374079777	0.00153098751142695	0.00159139764192965	0.00223762484204699	0.00166495475669278	0.00407835986280325	0.00483547651547903	0.00155226368350503	9.997568238368768e-4	0.00129534732052955	0.00134283989145304	0.00127115386397533
14	0.01028463223651152	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0.02912377693835342	0	0	0	0	0
23	0.00333245639651502	0	0.0017965937205464	0	0.00166495475669278	0.00277372336833356	0.0032165828745614	0.00186920537810335	0.00268772903317771	0.00343915785439004	0.00345830338755016	0.00152053825330036
28	0.00311117424669573	0	0.00201426501854445	0	0.00166495475669278	0.00212670108523068	0.00261654097338334	0.00186920537810335	0.00276817163608527	0.00323891487438488	0.0032573228685593	0.00160060959096655
30	0	0	0	0	0	0.00591054771409045	0.00624629186476388	0	0	0	0	0
34	9.002080897927187e-4	0.00133491798722805	8.779071279296215e-4	0.00181820030217257	0.00113302491139456	4.328547326958521e-4	8.145955240345234e-4	8.198685685942409e-4	9.997568238368768e-4	9.728522574916578e-4	0.00101855669201454	5.132224800353851e-4
46	0.0228844282511208	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0.00723605589219635	0	0	0	0	0	0
61	0.00681982552878262	0	0	0	0	0	0	0	0	0.00732467151477266	0.00720217314821061	0
64	0	0	0	0	0.00768300208157705	0	0	0	0	0	0	0
66	0.00121780607800052	0.0015658082215476	0.00117619331729958	8.627822677723106e-4	0.00207780897599448	7.536225087174849e-4	0.00113676260890222	0.00112361581659967	0.00142656375607883	0.00129079042713018	0.00133769395803315	8.150745315977493e-4
71	0	0	0	0	0	0.00525751068149767	0.00551136856334548	0	0	0	0	0
84	0.00342623102257831	0	0.00189970162534923	0	0.00166495475669278	0.00270325301904779	0.00315168476451525	0.00186920537810335	0.00270740382504571	0.00353223513955835	0.00355156913629511	0.00152053825330036
87	0	0	0	0	0	0	0	0.01427705536258453	0	0	0	0
88	0	0	0	0	0	0.00744374544080047	0	0	0	0	0	0
94	0	0.01394313726108287	0	0	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0.03484651170106	0	0	0	0
98	0.00467628008312668	0	0	0	0	0	0	0	0	0.00477226600091353	0.00479762661684119	0
100	0	0	0	0	0	0.00860566407836578	0	0	0	0	0	0
104	0	0	0	0	0	0.01839140268983762	0	0	0	0	0	0
111	0.03699498098430488	0	0	0	0	0	0	0	0	0	0	0
113	0.00320277748072079	0	0.00175681297528579	0	0	0.00333078000997412	0.00376225198527309	0.00186920537810335	0	0.00330625466162781	0.00332086297149769	0.00152053825330036
114	0.01233928706733856	0	0	0	0	0	0	0	0	0	0	0
117	0	0	0	0	0.00835788294160653	0	0	0	0	0	0	0
120	0	0	0	0	0	0.00837570961913822	0	0	0	0	0	0
121	0	0	0	0	0	0.0084594523371324	0	0	0	0	0	0
122	0	0	0	0	0	0.00858231787858227	0	0	0	0	0	0
123	0	0	0	0	0	0	0	0	0	0.01192270589406978	0.01169391333477451	0
124	0.0028675236018068	0	0.00175681297528579	0	0.00166495475669278	0.00301680269971536	0.00345528504885697	0.00186920537810335	0.00238916500505519	0.00298820115024764	0.00300441571214042	0.00152053825330036
128	0	0	0	0	0	0	0.00825820539684768	0	0	0	0	0
131	0	0	0	0.00342046728482576	0	0	0	0	0	0	0	0
132	0.0076956958569614	0	0	0	0	0	0	0	0	0.00716744484616732	0.00703247207823681	0
135	0.00568290614234373	0	0	0	0	0	0	0	0	0.00584951180588558	0.00588855337488384	0
137	0	0	0	0	0.04548061483496333	0	0	0	0	0	0	0
139	0	0	0.01037559914906655	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0.00728614824848299	0	0	0	0	0	0
144	0.0211362761293415	0	0	0	0	0	0	0	0	0	0	0
147	0	0	0	0.00398998822578747	0	0	0	0	0.01076280519219009	0	0	0
148	0	0	0	0	0	0	0	0	0	0.02071244004104681	0	0
149	0	0	0	0	0	0	0	0	0	0.02283794223397279	0	0
157	0.00765973254161327	0	0	0	0	0	0	0	0	0.00734132599575045	0.00720217314821061	0
158	0	0	0	0	0	0.00716668342037414	0	0	0	0	0	0
160	0	0	0	0	0	0	0.02516962250114871	0	0	0	0	0
166	0.00149692062680153	0.00153098751142695	0.00168648207949183	9.556913994946468e-4	0.00166495475669278	0.00103274087418873	0.00140186181101251	0.00163768929313996	9.412213960420908e-4	0.00157301582881571	0.00162273437643409	0.00129455938634307
167	0	0	0	0	0	0	0.01291712905061619	0	0	0	0	0
168	0	0	0	0	0	0.00793769727630072	0	0	0	0	0	0
172	0.00305419258410126	0	0	0	0	0.00384251587312963	0.00424597256090201	0	0	0.00315450270086824	0.00316786524223163	0
181	0	0	0	0	0	0	0	0.00608425579841983	0.00562622670089717	0	0	0.00589456407176684
182	0.00598842777565854	0	0	0	0	0	0	0	0	0.00621474312700685	0.00621926426236814	0
