dog	lineage.int. 01	lineage.int. 02	lineage.int. 03	lineage.int. 04	lineage.int. 05	lineage.int. 06	lineage.int. 07
3	0	0	0	0.02076556915063481	0	0	0
8	0	0	0	0.01312978215654034	0	0	0
14	0	0	0	0.02056361551766099	0	0	0
19	0	0	0	0.01774629451404662	0	0	0
23	0	0	0	0.01912544501076212	0	0	0
28	0.004978713522477418	0	0	0	0	0	0
30	0	0	0	0.017856104780855035	0	0	0
34	0	0	0	0.00824063061041196	0	0.008264293316510775	0
46	0.04221922390643529	0	0	0	0	0	0
59	0	0	0	0.017344433282237916	0	0	0
61	0.009834632727363967	0	0	0	0	0	0
64	0	0	0	0.02299405985177867	0	0	0
66	0	0	0	0.01964481229176998	0	0	0
71	0	0	0	0.017867948807801317	0	0	0
84	0	0	0	0.01919132517511602	0	0	0
87	0	0	0	0.007951603111150144	0	0	0
88	0	0	0	0.01772147392227678	0	0	0
94	0	0	0	0	0.017464458393272313	0.016076301344588435	0
95	0	0.012371193909712573	0	0	0	0	0
98	0.006875272056269562	0	0	0	0	0	0
100	0	0	0	0	0.011932966425603288	0	0
104	0	0	0	0.01797592859956181	0	0	0
111	0.061932112098153906	0	0	0	0	0	0
113	0	0	0	0	0.011611606521999895	0	0
114	0	0	0	0.02040698668902916	0	0	0
117	0	0.016569364364188613	0	0	0	0	0
120	0	0	0	0.01717303440750354	0	0	0
121	0	0	0.021195128897757366	0	0	0	0
122	0	0	0	0	0.01211078251920078	0	0
123	0	0	0	0.018195643899215838	0	0	0
124	0	0	0	0.018827758973218464	0	0	0
128	0	0	0	0.018140001994173975	0	0	0
131	0.006539978986638096	0	0	0	0	0	0
132	0.009789411455059849	0	0	0	0	0	0
135	0	0	0	0.019654294278481515	0	0	0
137	0	0.07938021881986351	0	0	0	0	0
139	0	0	0	0.021264305092267118	0	0	0
140	0	0	0.01387999032147325	0	0	0	0
144	0	0	0	0.020628459441189	0	0	0
147	0	0	0	0.018368383594642355	0	0	0
148	0	0	0	0.011505268758019658	0	0	0
149	0	0	0	0	0.009640340229575429	0.009983390314537252	0
157	0.010036403834838744	0	0	0	0	0	0
158	0	0	0	0	0.014804065928233653	0	0
160	0	0	0	0.01530944146930501	0	0	0
166	0	0	0	0.018873193542481858	0	0	0
167	0.002635706435761537	0	0.0032592028859172047	0	0	0	0
168	0	0	0	0.017332117908637434	0	0	0
172	0	0	0	0.01805100802358948	0	0	0
181	0	0	0	0	0	0	0
182	0.008373736745044892	0	0	0	0	0	0
183	0.009276966732773931	0	0	0	0	0	0
184	0	0	0.02387853090639444	0	0	0	0
191	0.013231363382973834	0	0	0	0	0	0
198	0	0	0	0.004898273232886028	0	0	0.0066365840167092495
199	0.0052457068878619725	0	0	0	0	0	0
200	0	0.012333905714242385	0	0	0	0	0
206	0	0	0	0.020453883939327226	0	0	0
213	0	0	0	0.01759157122148814	0	0	0
214	0	0	0.006375335522918846	0	0	0	0
215	0	0	0.0052287087028063195	0	0	0	0
219	0	0	0	0.01922472121893439	0	0	0
220	0	0	0	0.016911155691998764	0	0	0
223	0	0	0	0.019824030134335594	0	0	0
234	0	0	0.01059285015217773	0	0	0	0
235	0	0	0.010546095307627287	0	0	0	0
238	0	0	0	0	0	0	0.015582775044373404
268	0	0	0	0	0	0.06991752011671698	0
275	0	0	0	0	0.013814963376381096	0	0
281	0	0	0	0.01937101757549519	0	0	0
289	0	0.00762608857933345	0	0	0	0	0
290	0	0	0	0.01365992463797311	0	0	0
291	0.05733248496946868	0	0	0	0	0	0
294	0	0	0	0.03212819808086506	0	0	0.026088270953384275
295	0	0	0	0	0	0	0.02638258148948337
296	0	0	0	0	0	0	0.02750175112197921
297	0	0	0.01098876402876217	0	0	0	0
298	0	0	0	0	0	0	0.018008142897191316
305	0	0	0	0.019028808300835684	0	0	0
306	0.030572270248077994	0	0	0	0	0	0
333	0	0	0.012174265395680648	0	0	0	0
335	0	0	0	0	0	0	0.00956311315810986
341	0	0	0	0.02057648506163719	0	0	0
343	0	0	0	0.017083046085235015	0	0	0
344	0	0	0	0.019721719423270345	0	0	0
345	0	0	0	0	0	0.07127325426289546	0
383	0.008007418346758057	0	0	0	0	0	0
390	0	0	0	0.020073608781107817	0	0	0
391	0	0	0	0.01843992127895668	0	0	0
392	0	0	0	0.019420684764711732	0	0	0
393	0	0	0	0.019708863143072627	0	0	0
395	0	0	0	0	0	0	0.017806092856810455
406	0.07446153989718543	0	0	0	0	0	0
407	0.07422667060480984	0	0	0	0	0	0
427	0	0	0	0	0	0	0.029886842364019776
429	0.005925779258603284	0	0	0	0	0	0
435	0	0	0	0	0	0	0.02419632985749822
443	0	0	0.006578527649928445	0	0	0	0
446	0	0	0.006449627744328013	0	0	0	0
472	0	0	0.009529984465628439	0	0	0	0
473	0	0	0.010529559038150036	0	0	0	0
497	0.006643976927210378	0	0	0	0	0	0
508	0	0	0.008523350087719643	0	0	0	0
511	0.006132346340576792	0	0	0	0	0	0
523	0	0.007791006947312777	0	0	0	0	0
541	0.055814279110958875	0	0	0	0	0	0
542	0	0	0.018553266297510463	0	0	0	0
548	0.015720539363758435	0	0	0	0	0	0
559	0	0	0	0.012470211442289653	0	0	0
560	0	0	0	0	0.01628414111562072	0	0
561	0	0.011943239065205618	0	0	0	0	0
565	0	0	0	0	0	0	0.014797104275005305
566	0	0	0	0	0	0	0.017962276375449955
569	0	0.08811065684122779	0	0	0	0	0
581	0.015408405067002438	0	0	0	0	0	0
582	0.03713947511572904	0	0	0	0	0	0
603	0	0.06615109881342944	0	0	0	0	0
605	0	0	0.014737846333606471	0	0	0	0
607	0.006335856827219578	0	0	0	0	0	0
616	0	0	0.01745689905513108	0	0	0	0
635	0	0	0	0.008516592454709421	0	0	0
637	0.03929694132030744	0	0	0	0	0	0
638	0	0.08712770192222516	0	0	0	0	0
639	0	0.09030186131341364	0	0	0	0	0
656	0.04841611721511362	0	0	0	0	0	0
678	0	0	0	0.009645513183862456	0	0	0
679	0	0.012287560145179769	0	0	0	0	0
684	0	0	0	0	0	0	0.017027656034469384
697	0	0	0.025084518577881257	0	0	0	0
700	0.006250108556534931	0	0	0	0	0	0
701	0	0	0	0	0.01465812481811078	0	0
716	0	0	0	0.02011472491098706	0	0	0
721	0	0.017575627002490005	0	0	0	0	0
722	0.005922817160535015	0	0	0	0	0	0
723	0.0538254393066933	0	0	0	0	0	0
729	0.0068240621125059565	0	0	0	0	0	0
755	0	0	0	0.01694615701067746	0	0	0
765	0	0	0.010435239202418511	0	0	0	0
779	0	0	0.006086449102027597	0	0	0	0
784	0	0	0.009441737116115897	0	0	0	0
790	0.06677742796452286	0	0	0	0	0	0
791	0.06655131242796948	0	0	0	0	0	0
798	0.0737764613804664	0	0	0	0	0	0
801	0	0	0	0	0	0	0.01321609712814904
816	0	0.008387814046066836	0	0	0	0	0
817	0	0	0.023844784834542058	0	0	0	0
819	0	0	0	0.004183616660849701	0	0	0.006761996220468512
832	0	0	0	0	0.007729774394443	0	0
844	0.07017457254448964	0	0	0	0	0	0
857	0	0	0	0.013127763904639532	0	0	0
859	0	0	0.012144469328807805	0	0	0	0
866	0	0	0	0.020621562642251814	0	0	0
869	0	0	0.01926890831593317	0	0	0	0
874	0	0	0.026353616877729184	0	0	0	0
879	0	0	0	0	0	0	0.030918611717222162
901	0	0	0.011509163883398427	0	0	0	0
902	0	0	0	0	0	0	0
903	0	0	0.018866109293156855	0	0	0	0
908	0.0021441599982943552	0.0011707713778807533	0.0017002547837545875	0.003383810241907986	0.0017257241915804267	0.003293667672076764	0.0033061042152196145
910	0	0	0.01906486210527184	0	0	0	0
917	0	0	0	0	0	0	0.018887068541136216
933	0	0	0	0	0	0.07130167165681833	0
962	0	0	0.013410499614844803	0	0	0	0
964	0	0	0	0.020435397330015297	0	0	0
974	0.011429254453139357	0	0	0	0	0	0
991	0	0	0.008699070140903613	0	0	0	0
1000	0	0.016779335707620396	0	0	0	0	0
1013	0	0.08916512083580927	0	0	0	0	0
1035	0	0	0.0054156407769067605	0	0	0	0
1040	0	0	0	0	0	0.07156458800444106	0
1045	0.07734552285811944	0	0	0	0	0	0
1048	0.0710372552335483	0	0	0	0	0	0
1070	0	0	0	0.0171265748686525	0	0	0
1077	0.021512409416323628	0	0	0	0	0	0
1078	0	0	0	0.00524818819940542	0	0	0.006500575889755349
1085	0.05220603649419061	0	0	0	0	0	0
1099	0.013236947572865329	0	0	0	0	0	0
1120	0	0	0	0	0	0	0.027815811345888224
1123	0.006070737440328027	0	0	0	0	0	0
1124	0.00621496920652756	0	0	0	0	0	0
1128	0.02633273844777112	0	0	0	0	0	0
1130	0	0.005956424082819373	0	0	0	0	0
